latitude,longitude,date,capacity,plantid,type,Category
38.7378,-85.4206,1955-05,217.3,983,Bituminous Coal,Coal
38.9144,-82.1289,1955-06,217.3,2876,Bituminous Coal,Coal
40.7686,-111.9289,1955-06,113.6,3648,Natural Gas,Natural Gas
45.9402,-119.2988,1955-06,70,3084,Water,Hydro
40.7281,-73.9742,1955-06,200,2493,Natural Gas,Natural Gas
38.7378,-85.4206,1955-07,217.3,983,Bituminous Coal,Coal
37.1517,-88.775,1955-07,175,1379,Subbituminous Coal,Coal
41.6917,-83.4378,1955-08,171,2878,Petroleum Coke,Petroleum
35.8992,-84.5194,1955-08,200,3407,Subbituminous Coal,Coal
38.9144,-82.1289,1955-09,217.3,2876,Bituminous Coal,Coal
47.9951,-119.6404,1955-09,88.2,3921,Water,Hydro
38.7378,-85.4206,1955-10,217.3,983,Bituminous Coal,Coal
38.7378,-85.4206,1955-11,217.3,983,Bituminous Coal,Coal
38.9144,-82.1289,1955-11,217.3,2876,Bituminous Coal,Coal
33.435,-81.9111,1955-11,100,3295,Natural Gas,Natural Gas
47.9951,-119.6404,1955-12,88.2,3921,Water,Hydro
38.9144,-82.1289,1955-12,217.3,2876,Bituminous Coal,Coal
35.8992,-84.5194,1955-12,200,3407,Subbituminous Coal,Coal
47.4945,-101.4115,1956-01,121.6,2815,Water,Hydro
32.7231,-96.9358,1956-02,135.7,3453,Natural Gas,Natural Gas
39.1781,-76.5268,1956-02,132.8,1554,Disillate Fuel Oil,Petroleum
47.4945,-101.4115,1956-03,121.6,2815,Water,Hydro
38.7378,-85.4206,1956-03,217.3,983,Bituminous Coal,Coal
45.9402,-119.2988,1956-05,70,3084,Water,Hydro
35.150864,-84.177533,1956-05,95,2780,Water,Hydro
47.4945,-101.4115,1956-08,121.6,2815,Water,Hydro
47.9951,-119.6404,1956-09,88.2,3921,Water,Hydro
47.9951,-119.6404,1956-11,88.2,3921,Water,Hydro
48.732577,-121.06788,1956-11,112.5,6202,Water,Hydro
40.616689,-73.647881,1956-11,188,2511,Natural Gas,Natural Gas
36.116492,-95.990974,1956-11,170,2965,Natural Gas,Natural Gas
36.3156,-86.4006,1956-11,300,3403,Bituminous Coal,Coal
47.9951,-119.6404,1956-12,88.2,3921,Water,Hydro
32.7131,-103.3533,1957-01,75,2454,Natural Gas,Natural Gas
47.9951,-119.6404,1957-02,88.2,3921,Water,Hydro
45.9402,-119.2988,1957-03,80.5,3084,Water,Hydro
45.9402,-119.2988,1957-03,70,3084,Water,Hydro
33.5561,-112.2153,1957-04,113.6,141,Natural Gas,Natural Gas
41.32909,-95.94466,1957-04,108.8,2291,Natural Gas,Natural Gas
36.3156,-86.4006,1957-06,300,3403,Subbituminous Coal,Coal
38.246656,-120.034072,1957-06,72,415,Water,Hydro
32.7047,-93.9597,1957-06,114,1417,Natural Gas,Natural Gas
47.9951,-119.6404,1957-07,88.2,3921,Water,Hydro
47.9951,-119.6404,1957-09,88.2,3921,Water,Hydro
45.614,-121.1346,1957-10,78,3895,Water,Hydro
45.614,-121.1346,1957-11,78,3895,Water,Hydro
47.9951,-119.6404,1957-11,88.2,3921,Water,Hydro
40.6942,-99.7011,1958-01,108.8,2226,Natural Gas,Natural Gas
33.5561,-112.2153,1958-01,113.6,141,Natural Gas,Natural Gas
45.614,-121.1346,1958-02,78,3895,Water,Hydro
47.9951,-119.6404,1958-02,88.2,3921,Water,Hydro
45.03,-92.7786,1958-03,598.4,1915,Subbituminous Coal,Coal
32.7231,-96.9358,1958-03,136,3453,Natural Gas,Natural Gas
36.116492,-95.990974,1958-04,170,2965,Natural Gas,Natural Gas
35.50866,-97.17969,1958-04,163,2951,Natural Gas,Natural Gas
47.9951,-119.6404,1958-05,88.2,3921,Water,Hydro
39.711319,-86.196867,1958-06,100,990,Natural Gas,Natural Gas
31.93985,-94.989834,1958-06,176.8,3504,Natural Gas,Natural Gas
29.4828,-95.6311,1958-06,187.8,3470,Natural Gas,Natural Gas
47.9951,-119.6404,1958-07,88.2,3921,Water,Hydro
34.0556,-81.2172,1958-07,146.8,3287,Natural Gas,Natural Gas
40.937939,-80.369007,1958-08,114,3138,Natural Gas,Natural Gas
44.8367,-116.8975,1958-08,112.5,811,Water,Hydro
36.9333,-82.1997,1958-09,237.5,3775,Natural Gas,Natural Gas
40.787674,-73.912561,1958-09,376,8906,Natural Gas,Natural Gas
41.554944,-72.579075,1958-10,113.6,562,Natural Gas,Natural Gas
47.9951,-119.6404,1958-10,88.2,3921,Water,Hydro
39.722892,-121.469814,1958-10,71.4,272,Water,Hydro
45.614,-121.1346,1958-10,89.7,3895,Water,Hydro
44.8367,-116.8975,1958-10,112.5,811,Water,Hydro
26.6967,-81.7831,1958-11,156.2,612,Natural Gas,Natural Gas
40.949696,-73.078507,1958-11,188,2517,Natural Gas,Natural Gas
45.614,-121.1346,1958-11,78,3895,Water,Hydro
36.9333,-82.1997,1958-12,237.5,3775,Natural Gas,Natural Gas
34.0556,-81.2172,1958-12,146.8,3287,Natural Gas,Natural Gas
33.6439,-117.9792,1958-12,218,335,Natural Gas,Natural Gas
29.4828,-95.6311,1958-12,187.8,3470,Natural Gas,Natural Gas
46.060833,-122.201667,1958-12,80,3850,Water,Hydro
44.8367,-116.8975,1958-12,112.5,811,Water,Hydro
33.918151,-118.427648,1958-12,163.2,404,Natural Gas,Natural Gas
44.8367,-116.8975,1959-01,112.5,811,Water,Hydro
30.2844,-93.2911,1959-02,113.6,1393,Petroleum Coke,Petroleum
42.8378,-105.7769,1959-02,113.6,4158,Subbituminous Coal,Coal
45.614,-121.1346,1959-02,78,3895,Water,Hydro
32.7214,-114.7106,1959-04,86.7,120,Natural Gas,Natural Gas
41.32909,-95.94466,1959-04,108.8,2291,Natural Gas,Natural Gas
30.2844,-93.2911,1959-05,113.6,1393,Petroleum Coke,Petroleum
32.7047,-93.9597,1959-05,114,1417,Natural Gas,Natural Gas
40.8375,-74.0244,1959-05,325.2,2398,Natural Gas,Natural Gas
36.3156,-86.4006,1959-05,327.6,3403,Subbituminous Coal,Coal
30.5661,-87.2244,1959-07,93.7,641,Natural Gas,Natural Gas
33.918151,-118.427648,1959-07,163.2,404,Natural Gas,Natural Gas
36.3156,-86.4006,1959-08,327.6,3403,Subbituminous Coal,Coal
47.96048,-115.73361,1959-09,99,2199,Water,Hydro
40.591564,-74.200035,1959-09,342,2490,Natural Gas,Natural Gas
47.96048,-115.73361,1959-10,76.8,2199,Water,Hydro
41.573361,-73.96457,1959-10,147.1,2480,Natural Gas,Natural Gas
46.6451,-119.908,1959-10,95,3887,Water,Hydro
45.614,-121.1346,1959-11,78,3895,Water,Hydro
46.6451,-119.908,1959-11,95,3887,Water,Hydro
47.96048,-115.73361,1959-12,99,2199,Water,Hydro
41.06755,-78.366228,1959-12,188,3131,Natural Gas,Natural Gas
46.6451,-119.908,1959-12,95,3887,Water,Hydro
46.6451,-119.908,1960-01,95,3887,Water,Hydro
