record_id,species,flock,nbirds,latitude,longitude,date,isoCountry
86,Whooping_Crane,0,1,52.41667,-107.41,1991-09-01,CA
87,Whooping_Crane,0,1,52.41667,-107.41,1996-09-01,CA
88,Whooping_Crane,0,1,52.41667,-107.41,1996-10-01,CA
89,Whooping_Crane,0,1,60.25000000000001,-113.41,1978-08-01,CA
90,Whooping_Crane,0,1,42.08333,-101.41,1978-10-01,US
91,Whooping_Crane,0,1,53.08333,-108.41,1979-09-01,CA
92,Whooping_Crane,0,1,52.75,-107.75,1982-09-01,CA
93,Whooping_Crane,0,1,38.08333,-98.41,1983-04-01,US
94,Whooping_Crane,0,1,48.583330000000004,-104.25,1987-04-01,US
95,Whooping_Crane,0,1,60.25000000000001,-113.25,1978-08-01,CA
96,Whooping_Crane,0,1,52.41667,-106.58,1979-10-01,CA
97,Whooping_Crane,0,1,38.08333,-98.41,1983-04-01,US
98,Whooping_Crane,0,1,53.08333,-106.41,1989-09-01,CA
99,Whooping_Crane,0,1,53.08333,-106.41,1989-10-01,CA
100,Whooping_Crane,0,1,60.41667000000001,-113.91,1978-08-01,CA
101,Whooping_Crane,0,1,38.41667,-98.75,1978-10-01,US
102,Whooping_Crane,0,1,35.58333,-99.25,1980-05-01,US
103,Whooping_Crane,0,1,48.75,-102.41000000000001,1983-10-01,US
104,Whooping_Crane,0,1,47.58333,-101.58,1987-10-01,US
105,Whooping_Crane,0,1,52.083330000000004,-105.25,1991-10-01,CA
106,Whooping_Crane,0,1,43.08333,-111.41000000000001,1979-08-01,US
107,Whooping_Crane,0,1,60.24999999999999,-113.41,1979-08-01,CA
108,Whooping_Crane,0,1,46.25000000000001,-100.41,1984-11-01,US
109,Whooping_Crane,0,1,54.083330000000004,-108.41,1985-04-01,CA
110,Whooping_Crane,0,1,53.41667000000001,-109.41,1989-09-01,CA
111,Whooping_Crane,0,1,53.41667000000001,-109.41,1989-10-01,CA
112,Whooping_Crane,0,1,60.25000000000001,-113.25,1979-08-01,CA
113,Whooping_Crane,0,1,38.08333,-98.41,1983-04-01,US
114,Whooping_Crane,0,4,46.932670722468174,-103.19314134121012,1983-10-01,CA
115,Whooping_Crane,0,1,39.58333,-100.58,1984-04-01,US
116,Whooping_Crane,0,1,60.25000000000001,-113.41,1979-08-01,CA
117,Whooping_Crane,0,1,50.08333,-103.91,1980-10-01,CA
118,Whooping_Crane,0,1,52.58333,-109.41,1982-09-01,CA
119,Whooping_Crane,0,1,38.08333,-98.41,1987-10-01,US
120,Whooping_Crane,0,1,53.08333,-106.41,1989-09-01,CA
121,Whooping_Crane,0,1,53.08333,-106.41,1989-10-01,CA
122,Whooping_Crane,0,1,60.25000000000001,-113.41,1979-08-01,CA
123,Whooping_Crane,0,1,36.75,-98.25000000000001,1979-11-01,US
124,Whooping_Crane,0,1,50.08332999999999,-103.91,1980-10-01,CA
125,Whooping_Crane,0,1,52.58333,-109.41,1981-10-01,CA
126,Whooping_Crane,0,2,38.08333,-98.41,1987-10-01,US
127,Whooping_Crane,0,1,37.583330000000004,-99.58,1993-04-01,US
128,Whooping_Crane,0,1,60.24999999999999,-113.41,1979-08-01,CA
129,Whooping_Crane,0,1,52.41667,-109.08,1979-10-01,CA
130,Whooping_Crane,0,2,51.25003077734431,-105.1653080805734,1983-10-01,CA
131,Whooping_Crane,0,1,41.75,-100.41,1984-10-01,US
132,Whooping_Crane,0,1,43.08333,-111.41000000000001,1979-09-01,US
133,Whooping_Crane,0,1,34.75,-106.75,1986-03-01,US
134,Whooping_Crane,0,1,43.08333,-111.41000000000001,1980-08-01,US
135,Whooping_Crane,0,2,43.08333,-111.41000000000001,1987-07-01,US
136,Whooping_Crane,0,1,43.08333,-111.41000000000001,1980-08-01,US
137,Whooping_Crane,0,1,60.25000000000001,-113.25,1980-08-01,CA
138,Whooping_Crane,0,3,42.492694361112434,-100.82088104368725,1983-10-01,US
139,Whooping_Crane,0,5,38.55376708223076,-99.65402807185536,1984-04-01,US
140,Whooping_Crane,0,1,36.75,-98.25000000000001,1984-10-01,US
141,Whooping_Crane,0,1,52.08333,-105.91,1987-10-01,CA
142,Whooping_Crane,0,1,52.08333,-105.91,1987-11-01,CA
143,Whooping_Crane,0,1,60.24999999999999,-113.41,1980-08-01,CA
144,Whooping_Crane,0,2,46.25,-102.25,1983-10-01,US
145,Whooping_Crane,0,6,37.94818595092449,-99.43818024503939,1984-04-01,US
146,Whooping_Crane,0,1,36.75,-98.25000000000001,1984-10-01,US
147,Whooping_Crane,0,1,60.25000000000001,-113.41,1980-08-01,CA
148,Whooping_Crane,0,1,52.41667,-107.41,1980-10-01,CA
149,Whooping_Crane,0,1,52.916669999999996,-108.75,1982-09-01,CA
150,Whooping_Crane,0,2,51.33344589702303,-105.41410027731588,1982-10-01,CA
151,Whooping_Crane,0,2,46.25,-102.25,1983-10-01,US
152,Whooping_Crane,0,1,40.58333,-98.91,1986-10-01,US
153,Whooping_Crane,0,1,40.58333,-98.91,1986-11-01,US
154,Whooping_Crane,0,1,37.75,-99.58,1987-04-01,US
155,Whooping_Crane,0,2,38.25000000000001,-98.75,1987-10-01,US
156,Whooping_Crane,0,1,52.25,-105.75,1991-10-01,CA
157,Whooping_Crane,0,1,60.25000000000001,-113.41,1980-08-01,CA
158,Whooping_Crane,0,1,48.583330000000004,-103.25,1980-10-01,US
159,Whooping_Crane,0,1,60.41667000000001,-113.91,1981-08-01,CA
160,Whooping_Crane,0,11,44.42644613540581,-102.90071795692833,1981-10-01,US
161,Whooping_Crane,0,3,31.195916206248548,-97.34281194101135,1981-11-01,US
162,Whooping_Crane,0,1,56.74999999999999,-111.41000000000001,1982-09-01,CA
163,Whooping_Crane,0,1,31.416669999999993,-97.58,1982-10-01,US
164,Whooping_Crane,0,1,60.25000000000001,-113.41,1981-08-01,CA
165,Whooping_Crane,0,2,55.09253509456651,-109.84746014489535,1981-09-01,CA
166,Whooping_Crane,0,1,52.58333,-101.75,1981-10-01,CA
167,Whooping_Crane,0,1,43.08333,-111.41000000000001,1982-08-01,US
168,Whooping_Crane,0,1,37.41667,-105.75,1986-05-01,US
169,Whooping_Crane,0,1,60.25000000000001,-113.41,1982-08-01,CA
170,Whooping_Crane,0,7,49.0706978332947,-103.79626363133092,1982-10-01,CA
171,Whooping_Crane,0,3,37.97854294385828,-97.48061537334823,1982-11-01,US
172,Whooping_Crane,0,1,60.25000000000001,-113.41,1982-08-01,CA
173,Whooping_Crane,0,2,46.25,-102.25,1983-10-01,US
174,Whooping_Crane,0,1,47.91667,-102.41000000000001,1984-10-01,US
175,Whooping_Crane,0,1,60.083330000000004,-112.58,1982-08-01,CA
176,Whooping_Crane,0,1,59.41667,-112.75,1982-10-01,CA
177,Whooping_Crane,0,1,34.08333,-98.91,1983-04-01,US
178,Whooping_Crane,0,6,55.46393520606493,-109.10515566443254,1983-09-01,CA
179,Whooping_Crane,0,9,36.45382315932878,-98.53524058238601,1983-10-01,US
180,Whooping_Crane,0,5,34.05523493915763,-98.03579493360354,1984-04-01,US
181,Whooping_Crane,0,5,46.99368626910475,-102.99647745959437,1984-05-01,US
