species	flock	date	coords	fossilCount	windCount	borderCount	hydroCount	distanceCount	nbirds
Whooping_Crane	B29466727576	1982-08-01	[[-96.75, 28.250000000000004], [-106.08, 50.58333]]	0	0	1	0	2604.6092750453295	1
Whooping_Crane	B29466727576	1983-09-01	[[-106.08, 50.58333], [-98.25000000000001, 36.75]]	0	0	1	0	1659.8758876018205	1
Whooping_Crane	B29466727576	1984-03-01	[[-98.25000000000001, 36.75], [-101.25, 39.91667000000001]]	0	0	0	0	438.63585278450984	1
Whooping_Crane	B29466727576	1986-04-01	[[-101.25, 39.91667000000001], [-113.41, 60.083330000000004]]	0	0	1	0	2396.0109993412775	1
Whooping_Crane	B59466727597	1977-10-01	[[-113.08, 60.25000000000001], [-99.16800089034197, 38.61670362500055]]	0	0	1	0	2594.9797215452213	1
Whooping_Crane	B79466727564	1977-09-01	[[-113.25, 60.25000000000001], [-101.08, 48.41667]]	0	0	1	0	1528.805038580438	1
Whooping_Crane	B79466727564	1977-10-01	[[-101.08, 48.41667], [-96.75, 28.25]]	0	0	0	0	2273.069468131814	1
Whooping_Crane	B79466727564	1978-08-01	[[-96.75, 28.25], [-109.58, 52.25]]	0	0	1	0	2872.308291484064	1
Whooping_Crane	B79466727564	1980-08-01	[[-109.58, 52.25], [-107.75, 52.75]]	0	0	0	0	135.7742435120451	1
Whooping_Crane	B79466727564	1981-09-01	[[-107.75, 52.75], [-108.41, 52.41667]]	0	0	0	0	57.98391215263899	1
Whooping_Crane	B79466727564	1983-09-01	[[-108.41, 52.41667], [-103.19314134121011, 46.932670722468174]]	0	0	1	0	715.6487598633365	1
Whooping_Crane	B79466727586	1977-09-01	[[-113.41, 60.24999999999999], [-105.24529991192136, 51.33345090008172]]	0	0	0	0	1113.2363192647592	1
Whooping_Crane	B79466727586	1977-10-01	[[-105.24529991192136, 51.33345090008172], [-100.58, 44.416669999999996]]	0	0	1	0	843.7307228409281	1
Whooping_Crane	B79466727586	1978-03-01	[[-100.58, 44.416669999999996], [-100.41, 37.41667]]	0	0	0	0	778.4950168944966	1
Whooping_Crane	B79466727586	1978-09-01	[[-100.41, 37.41667], [-99.41, 32.25]]	0	0	0	0	581.7003315074547	1
Whooping_Crane	B79466727586	1980-08-01	[[-99.41, 32.25], [-107.75, 52.75]]	0	0	1	0	2376.0285070111395	1
Whooping_Crane	B79466727586	1982-08-01	[[-107.75, 52.75], [-107.75, 52.75]]	0	0	0	0	0.0	1
Whooping_Crane	B79466727586	1983-04-01	[[-107.75, 52.75], [-104.08, 48.916669999999996]]	0	0	1	0	497.9605465853517	1
Whooping_Crane	B79466727586	1984-09-01	[[-104.08, 48.916669999999996], [-105.25, 51.58333]]	0	0	1	0	307.95662552176265	1
Whooping_Crane	B69466044036	1982-07-01	[[-111.41000000000001, 43.08333], [-111.41000000000001, 42.25]]	0	0	0	0	92.662068220698	1
Whooping_Crane	B99466727446	1981-08-01	[[-113.41, 60.25000000000001], [-109.41, 52.58333]]	0	0	0	0	886.8794559090695	1
Whooping_Crane	B99466727446	1981-09-01	[[-109.41, 52.58333], [-98.41, 38.08333]]	0	0	1	0	1822.5415565352744	1
Whooping_Crane	B99466727446	1982-08-01	[[-98.41, 38.08333], [-106.08, 52.41667]]	0	0	1	0	1700.8159216158313	1
Whooping_Crane	B29466727419	1979-08-01	[[-113.41, 60.25000000000001], [-108.8006198725371, 48.83457801587377]]	0	0	1	0	1302.904250675364	1
Whooping_Crane	B29466727419	1982-09-01	[[-108.8006198725371, 48.83457801587377], [-106.0200126367124, 51.64957832093778]]	0	0	1	0	370.178969057624	1
Whooping_Crane	B29466727419	1982-10-01	[[-106.0200126367124, 51.64957832093778], [-98.67886295611035, 37.80260061402487]]	0	0	1	0	1643.279517286505	1
Whooping_Crane	B29466727419	1983-03-01	[[-98.67886295611035, 37.80260061402487], [-100.48622352097266, 42.666608256637595]]	0	0	1	0	562.1518236534026	1
Whooping_Crane	B29466727419	1983-04-01	[[-100.48622352097266, 42.666608256637595], [-108.75, 54.083330000000004]]	0	0	1	0	1406.360607202566	1
Whooping_Crane	B29466727419	1983-08-01	[[-108.75, 54.083330000000004], [-107.75, 52.75]]	0	0	0	0	162.39277380030515	1
Whooping_Crane	B29466727419	1983-09-01	[[-107.75, 52.75], [-98.32902958836694, 37.16669188387229]]	0	0	1	0	1880.913086474185	1
Whooping_Crane	B29466727419	1985-08-01	[[-98.32902958836694, 37.16669188387229], [-107.41, 52.41667]]	0	0	1	0	1837.4973220212594	1
Whooping_Crane	B29466727419	1985-09-01	[[-107.41, 52.41667], [-107.41, 52.41667]]	0	0	0	0	0.0	1
Whooping_Crane	B29466727419	1986-03-01	[[-107.41, 52.41667], [-100.16240711315048, 40.667407871750136]]	0	0	1	0	1417.4601927663866	1
Whooping_Crane	B29466727419	1991-08-01	[[-100.16240711315048, 40.667407871750136], [-107.41, 52.41667]]	0	0	1	0	1417.4601927663866	1
Whooping_Crane	B29466727419	1996-08-01	[[-107.41, 52.41667], [-107.41, 52.41667]]	0	0	0	0	0.0	1
Whooping_Crane	B29466727419	1996-09-01	[[-107.41, 52.41667], [-107.41, 52.41667]]	0	0	0	0	0.0	1
Whooping_Crane	B49466727436	1978-09-01	[[-113.41, 60.25000000000001], [-101.41, 42.08333]]	0	0	1	0	2178.5014634885492	1
Whooping_Crane	B49466727436	1979-08-01	[[-101.41, 42.08333], [-108.41, 53.08333]]	0	0	1	0	1329.5271987000892	1
Whooping_Crane	B49466727436	1982-08-01	[[-108.41, 53.08333], [-107.75, 52.75]]	0	0	0	0	57.72296073359686	1
Whooping_Crane	B49466727436	1983-03-01	[[-107.75, 52.75], [-98.41, 38.08333]]	0	0	1	0	1782.877024309161	1
Whooping_Crane	B49466727436	1987-03-01	[[-98.41, 38.08333], [-104.25, 48.583330000000004]]	0	0	0	0	1258.5243314862828	1
Whooping_Crane	B29466727494	1979-09-01	[[-113.25, 60.25000000000001], [-106.58, 52.41667]]	0	0	0	0	962.0580346763448	1
Whooping_Crane	B29466727494	1983-03-01	[[-106.58, 52.41667], [-98.41, 38.08333]]	0	0	1	0	1714.7018092820454	1
Whooping_Crane	B29466727494	1989-08-01	[[-98.41, 38.08333], [-106.41, 53.08333]]	0	0	1	0	1777.6610942548612	1
Whooping_Crane	B29466727494	1989-09-01	[[-106.41, 53.08333], [-106.41, 53.08333]]	0	0	0	0	0.0	1
Whooping_Crane	B49466727457	1978-09-01	[[-113.91, 60.41667000000001], [-98.75, 38.41667]]	0	0	1	0	2665.90304988069	1
Whooping_Crane	B49466727457	1980-04-01	[[-98.75, 38.41667], [-99.25, 35.58333]]	0	0	0	0	318.16484758989566	1
Whooping_Crane	B49466727457	1983-09-01	[[-99.25, 35.58333], [-102.41000000000001, 48.75]]	0	0	0	0	1486.6995947930695	1
Whooping_Crane	B49466727457	1987-09-01	[[-102.41000000000001, 48.75], [-101.58, 47.58333]]	0	0	0	0	143.58871485008956	1
Whooping_Crane	B49466727457	1991-09-01	[[-101.58, 47.58333], [-105.25, 52.083330000000004]]	0	0	1	0	565.2104470932805	1
Whooping_Crane	B79466727322	1984-10-01	[[-113.41, 60.24999999999999], [-100.41, 46.25000000000001]]	2	0	1	0	1773.5777070537545	1
Whooping_Crane	B79466727322	1985-03-01	[[-100.41, 46.25000000000001], [-108.41, 54.083330000000004]]	4	0	1	0	1039.4105689013818	1
Whooping_Crane	B79466727322	1989-08-01	[[-108.41, 54.083330000000004], [-109.41, 53.41667000000001]]	0	0	0	0	99.0852823460001	1
Whooping_Crane	B79466727322	1989-09-01	[[-109.41, 53.41667000000001], [-109.41, 53.41667000000001]]	0	0	0	0	0.0	1
