species,flock,source,target,totalDistance,ewDistance,nsDistance,heading,fossilCount,windCount,hydroCount,borderCount
Whooping_Crane,1,5,6,1652.476831,748.4522488,-1477.013538,149.5559584,0,0,0,0
Whooping_Crane,1,5,6,1652.476831,748.4522488,-1477.013538,149.5559584,0,0,0,0
Whooping_Crane,1,5,6,1652.476831,748.4522488,-1477.013538,149.5559584,0,0,0,0
Whooping_Crane,1,5,6,1652.476831,748.4522488,-1477.013538,149.5559584,0,0,0,0
Whooping_Crane,1,5,6,1652.476831,748.4522488,-1477.013538,149.5559584,0,0,0,0
Whooping_Crane,1,5,6,1652.476831,748.4522488,-1477.013538,149.5559584,0,0,0,0
Whooping_Crane,1,5,6,1652.476831,748.4522488,-1477.013538,149.5559584,0,0,0,0
Whooping_Crane,1,5,6,1652.476831,748.4522488,-1477.013538,149.5559584,0,0,0,0
Whooping_Crane,1,5,6,1652.476831,748.4522488,-1477.013538,149.5559584,0,0,0,0
Whooping_Crane,1,5,6,1652.476831,748.4522488,-1477.013538,149.5559584,0,0,0,0
Whooping_Crane,1,5,6,1652.476831,748.4522488,-1477.013538,149.5559584,0,0,0,0
Whooping_Crane,1,5,6,1652.476831,748.4522488,-1477.013538,149.5559584,0,0,0,0
Whooping_Crane,1,5,6,1652.476831,748.4522488,-1477.013538,149.5559584,0,0,0,0
Whooping_Crane,1,5,6,1652.476831,748.4522488,-1477.013538,149.5559584,0,0,0,0
Whooping_Crane,1,5,6,1652.476831,748.4522488,-1477.013538,149.5559584,0,0,0,0
Whooping_Crane,1,5,6,1652.476831,748.4522488,-1477.013538,149.5559584,0,0,0,0
Whooping_Crane,1,5,6,1652.476831,748.4522488,-1477.013538,149.5559584,0,0,0,0
Whooping_Crane,1,5,6,1652.476831,748.4522488,-1477.013538,149.5559584,0,0,0,0
Whooping_Crane,1,5,6,1652.476831,748.4522488,-1477.013538,149.5559584,0,0,0,0
Whooping_Crane,1,5,6,1652.476831,748.4522488,-1477.013538,149.5559584,0,0,0,0
Whooping_Crane,1,7,8,855.8582176,-395.3006197,759.6196575,334.2601876,0,0,0,0
Whooping_Crane,1,7,8,855.8582176,-395.3006197,759.6196575,334.2601876,0,0,0,0
Whooping_Crane,1,7,8,855.8582176,-395.3006197,759.6196575,334.2601876,0,0,0,0
Whooping_Crane,1,7,8,855.8582176,-395.3006197,759.6196575,334.2601876,0,0,0,0
Whooping_Crane,1,7,8,855.8582176,-395.3006197,759.6196575,334.2601876,0,0,0,0
Whooping_Crane,1,7,8,855.8582176,-395.3006197,759.6196575,334.2601876,0,0,0,0
Whooping_Crane,1,7,8,855.8582176,-395.3006197,759.6196575,334.2601876,0,0,0,0
Whooping_Crane,1,7,8,855.8582176,-395.3006197,759.6196575,334.2601876,0,0,0,0
Whooping_Crane,1,7,8,855.8582176,-395.3006197,759.6196575,334.2601876,0,0,0,0
Whooping_Crane,1,7,8,855.8582176,-395.3006197,759.6196575,334.2601876,0,0,0,0
Whooping_Crane,1,7,8,855.8582176,-395.3006197,759.6196575,334.2601876,0,0,0,0
Whooping_Crane,1,7,8,855.8582176,-395.3006197,759.6196575,334.2601876,0,0,0,0
Whooping_Crane,1,7,8,855.8582176,-395.3006197,759.6196575,334.2601876,0,0,0,0
Whooping_Crane,1,7,8,855.8582176,-395.3006197,759.6196575,334.2601876,0,0,0,0
Whooping_Crane,1,7,8,855.8582176,-395.3006197,759.6196575,334.2601876,0,0,0,0
Whooping_Crane,1,11,12,1896.863444,758.6584047,-1742.787086,152.963151,0,0,0,0
Whooping_Crane,1,11,12,1896.863444,758.6584047,-1742.787086,152.963151,0,0,0,0
Whooping_Crane,1,11,12,1896.863444,758.6584047,-1742.787086,152.963151,0,0,0,0
Whooping_Crane,1,11,12,1896.863444,758.6584047,-1742.787086,152.963151,0,0,0,0
Whooping_Crane,1,11,12,1896.863444,758.6584047,-1742.787086,152.963151,0,0,0,0
Whooping_Crane,1,11,12,1896.863444,758.6584047,-1742.787086,152.963151,0,0,0,0
Whooping_Crane,1,11,12,1896.863444,758.6584047,-1742.787086,152.963151,0,0,0,0
Whooping_Crane,1,11,12,1896.863444,758.6584047,-1742.787086,152.963151,0,0,0,0
Whooping_Crane,1,11,12,1896.863444,758.6584047,-1742.787086,152.963151,0,0,0,0
Whooping_Crane,1,11,12,1896.863444,758.6584047,-1742.787086,152.963151,0,0,0,0
Whooping_Crane,1,11,12,1896.863444,758.6584047,-1742.787086,152.963151,0,0,0,0
