species,flock,date,coords,fossilCount,windCount,borderCount,hydroCount,distanceCount
Whooping_Crane,1,1977-10-01,"[[-103.25440517490101, 48.60896792992581], [-97.30770048283146, 30.994432954448143]]",0,0,0,0,2021.8738030935954
Whooping_Crane,1,1977-10-01,"[[-103.25440517490101, 48.60896792992581], [-97.30770048283146, 30.994432954448143]]",0,0,0,0,2021.8738030935954
Whooping_Crane,1,1977-10-01,"[[-103.25440517490101, 48.60896792992581], [-97.30770048283146, 30.994432954448143]]",0,0,0,0,2021.8738030935954
Whooping_Crane,1,1977-10-01,"[[-103.25440517490101, 48.60896792992581], [-97.30770048283146, 30.994432954448143]]",0,0,0,0,2021.8738030935954
Whooping_Crane,1,1977-10-01,"[[-103.25440517490101, 48.60896792992581], [-97.30770048283146, 30.994432954448143]]",0,0,0,0,2021.8738030935954
Whooping_Crane,1,1977-10-01,"[[-103.25440517490101, 48.60896792992581], [-97.30770048283146, 30.994432954448143]]",0,0,0,0,2021.8738030935954
Whooping_Crane,1,1977-10-01,"[[-103.25440517490101, 48.60896792992581], [-97.30770048283146, 30.994432954448143]]",0,0,0,0,2021.8738030935954
Whooping_Crane,1,1977-10-01,"[[-103.25440517490101, 48.60896792992581], [-97.30770048283146, 30.994432954448143]]",0,0,0,0,2021.8738030935954
Whooping_Crane,1,1977-10-01,"[[-103.25440517490101, 48.60896792992581], [-97.30770048283146, 30.994432954448143]]",0,0,0,0,2021.8738030935954
Whooping_Crane,1,1977-10-01,"[[-103.25440517490101, 48.60896792992581], [-97.30770048283146, 30.994432954448143]]",0,0,0,0,2021.8738030935954
Whooping_Crane,1,1977-10-01,"[[-103.25440517490101, 48.60896792992581], [-97.30770048283146, 30.994432954448143]]",0,0,0,0,2021.8738030935954
Whooping_Crane,1,1977-10-01,"[[-103.25440517490101, 48.60896792992581], [-97.30770048283146, 30.994432954448143]]",0,0,0,0,2021.8738030935954
Whooping_Crane,1,1977-10-01,"[[-103.25440517490101, 48.60896792992581], [-97.30770048283146, 30.994432954448143]]",0,0,0,0,2021.8738030935954
Whooping_Crane,1,1977-10-01,"[[-103.25440517490101, 48.60896792992581], [-97.30770048283146, 30.994432954448143]]",0,0,0,0,2021.8738030935954
Whooping_Crane,1,1977-10-01,"[[-103.25440517490101, 48.60896792992581], [-97.30770048283146, 30.994432954448143]]",0,0,0,0,2021.8738030935954
Whooping_Crane,1,1977-10-01,"[[-103.25440517490101, 48.60896792992581], [-97.30770048283146, 30.994432954448143]]",0,0,0,0,2021.8738030935954
Whooping_Crane,1,1977-10-01,"[[-103.25440517490101, 48.60896792992581], [-97.30770048283146, 30.994432954448143]]",0,0,0,0,2021.8738030935954
Whooping_Crane,1,1977-10-01,"[[-103.25440517490101, 48.60896792992581], [-97.30770048283146, 30.994432954448143]]",0,0,0,0,2021.8738030935954
Whooping_Crane,1,1978-07-01,"[[-100.34411765594749, 37.416696113256734], [-113.4483484718152, 60.267645558975445]]",0,0,0,0,2704.24325763687
Whooping_Crane,1,1978-07-01,"[[-100.34411765594749, 37.416696113256734], [-113.4483484718152, 60.267645558975445]]",0,0,0,0,2704.24325763687
Whooping_Crane,1,1978-07-01,"[[-100.34411765594749, 37.416696113256734], [-113.4483484718152, 60.267645558975445]]",0,0,0,0,2704.24325763687
Whooping_Crane,1,1978-07-01,"[[-100.34411765594749, 37.416696113256734], [-113.4483484718152, 60.267645558975445]]",0,0,0,0,2704.24325763687
Whooping_Crane,1,1978-07-01,"[[-100.34411765594749, 37.416696113256734], [-113.4483484718152, 60.267645558975445]]",0,0,0,0,2704.24325763687
Whooping_Crane,1,1978-07-01,"[[-100.34411765594749, 37.416696113256734], [-113.4483484718152, 60.267645558975445]]",0,0,0,0,2704.24325763687
Whooping_Crane,1,1978-07-01,"[[-100.34411765594749, 37.416696113256734], [-113.4483484718152, 60.267645558975445]]",0,0,0,0,2704.24325763687
Whooping_Crane,1,1978-07-01,"[[-100.34411765594749, 37.416696113256734], [-113.4483484718152, 60.267645558975445]]",0,0,0,0,2704.24325763687
Whooping_Crane,1,1978-07-01,"[[-100.34411765594749, 37.416696113256734], [-113.4483484718152, 60.267645558975445]]",0,0,0,0,2704.24325763687
Whooping_Crane,1,1978-07-01,"[[-100.34411765594749, 37.416696113256734], [-113.4483484718152, 60.267645558975445]]",0,0,0,0,2704.24325763687
Whooping_Crane,1,1978-07-01,"[[-100.34411765594749, 37.416696113256734], [-113.4483484718152, 60.267645558975445]]",0,0,0,0,2704.24325763687
Whooping_Crane,1,1978-07-01,"[[-100.34411765594749, 37.416696113256734], [-113.4483484718152, 60.267645558975445]]",0,0,0,0,2704.24325763687
Whooping_Crane,1,1978-07-01,"[[-100.34411765594749, 37.416696113256734], [-113.4483484718152, 60.267645558975445]]",0,0,0,0,2704.24325763687
Whooping_Crane,1,1978-07-01,"[[-100.34411765594749, 37.416696113256734], [-113.4483484718152, 60.267645558975445]]",0,0,0,0,2704.24325763687
Whooping_Crane,1,1978-07-01,"[[-100.34411765594749, 37.416696113256734], [-113.4483484718152, 60.267645558975445]]",0,0,0,0,2704.24325763687
Whooping_Crane,1,1978-07-01,"[[-100.34411765594749, 37.416696113256734], [-113.4483484718152, 60.267645558975445]]",0,0,0,0,2704.24325763687
Whooping_Crane,1,1978-07-01,"[[-100.34411765594749, 37.416696113256734], [-113.4483484718152, 60.267645558975445]]",0,0,0,0,2704.24325763687
Whooping_Crane,1,1978-07-01,"[[-100.34411765594749, 37.416696113256734], [-113.4483484718152, 60.267645558975445]]",0,0,0,0,2704.24325763687
Whooping_Crane,1,1978-07-01,"[[-100.34411765594749, 37.416696113256734], [-113.4483484718152, 60.267645558975445]]",0,0,0,0,2704.24325763687
